Title:	The Physical Meaning of Maxwell's Equations | The Secrets of the Universe

URL:	http://www.youtube.com/watch?v=ia7HsNSrRh4

Views:	43875

Length:	16:26

Positive Reaction:	1582

Negative Reaction:	40

Comments:	137

Negative Reaction:	40

Description:	The Maxwell's Equations are four coupled differential equations that describe the behavior of electric and magnetic fields. Carl Sagan once said, "Maxwell's equations have done more good to mankind than any 10 Presidents combined". This quote shows how important the Maxwell's equations really are. Maxwell himself did not come up with these equations. He combined these 4 equations to prove that light is an electromagnetic wave. In order to understand Maxwell's equations, we must know what is divergence and curl.

1. Gauss' law in electricity: The Gauss' law in electricity states that the the divergence of electric field is directly proportional to the charge density. This law says that isolated positive or negative charges are responsible for electric fields.

2. Gauss' law in magnetism: The Gauss' law in magnetism states that the divergence of magnetic field is zero. This means that magnetic monopoles cannot exist.

3. Faraday's law: One of the most important equations in history, the Faraday's law states that a time varying magnetic field can produce an electric field. 

4. Ampere's law: The Ampere's law gives a relation between the curl of the magnetic field and the current density. There was a theoretical and experimental flaw in Ampere's law. Maxwell corrected Ampere's law by adding another term to it.

If you have any questions, feel free to comment or email me @ rishabhroynakra@gmail.com

Facebook page link: https://www.facebook.com/secretsofuniverse/
Instagram page link: https://www.instagram.com/the_secrets_of_the_universe/
website: www.secretsofuniverse.in

Video Licensed:	Yes

Tags:	["Maxwell's Equations", 'Electrodynamics', 'Maxwell Equations', 'Electricity and Magnetism', 'Curl and Divergence', "Gauss' law", "Faraday's law", "Ampere's Law"]

File Title:	ThePhysicalMeaningof.txt

Transcription:
 0:0	-	hello my name is rishabh and welcome to
0:3	-	the channel the secrets of the universe
0:4	-	today we are going to talk about the
0:7	-	Maxwell's equations before I start I
0:10	-	want to quote the famous astronomer
0:12	-	Calphalon he said that Maxwell's
0:15	-	equations have done more good to mankind
0:17	-	than any ten presidents combined now
0:20	-	this line this code from Carl Sagan
0:22	-	holds a lot of importance it really
0:25	-	tells how important these equations are
0:27	-	now one thing to be noted is that
0:30	-	Maxwell did not come up with these
0:32	-	equations he himself did not devise all
0:35	-	of them
0:35	-	he just combined these four equations
0:37	-	and proved that light is actually an
0:40	-	electromagnetic wave Maxwell's equations
0:44	-	are the backbone of the classical
0:46	-	electromagnetism classical optics and
0:49	-	modern electronics now before we start
0:53	-	it is very important to know what is the
0:56	-	physical meaning of the Maxwell's
0:57	-	equations for that we need to understand
1:0	-	what is the meaning of divergence and
1:3	-	the curl
1:4	-	now divergence and curl once we know
1:6	-	these two concepts it becomes very easy
1:9	-	to understand the physical meaning of
1:11	-	Maxwell's equations so let us start and
1:14	-	before we start make sure you subscribe
1:16	-	our channel because I'll keep on
1:18	-	uploading for more videos on physics so
1:23	-	a first task is to understand the
1:25	-	Gauss's law in electricity and magnetism
1:28	-	in order to understand these two laws we
1:31	-	need to understand what is the meaning
1:33	-	of divergence of a vector field now any
1:37	-	maths textbook will tell you that the
1:39	-	mathematical formulation of divergence
1:42	-	is this but we need to understand the
1:45	-	physical meaning of divergence in order
1:48	-	to understand the Gauss's law so we
1:51	-	consider a vector field G depicted by
1:54	-	these arrows for simplicity I'll assume
1:57	-	that our G is only along the x direction
2:0	-	so we cut out these two components of
2:3	-	the field there is no field along the X
2:6	-	the Z direction and the y direction and
2:9	-	there is no change in these fields along
2:11	-	the z and y directions
2:13	-	field is only along the x-direction now
2:16	-	in in our case I have depicted that the
2:21	-	magnitude of G is increasing along the
2:25	-	increasing x direction in this field
2:27	-	assume that the strength of the field or
2:30	-	the magnitude of the field is directly
2:32	-	proportional to the length of the arrow
2:33	-	so as you can see that the arrows are
2:37	-	here shorter but as they move along the
2:39	-	X direction the arrows get longer this
2:42	-	means the strength of our field or the
2:44	-	magnitude of the field increases in
2:47	-	order to understand what is divergence
2:50	-	what we do is we draw an arbitrary
2:52	-	sphere of any size inside this field it
2:57	-	is not important to draw a sphere only
2:59	-	you can draw any arbitrary curve around
3:2	-	the field as you can see the amount of
3:5	-	field that is entering the sphere is
3:7	-	less as compared to what is coming
3:10	-	outside the field this means that there
3:13	-	is some source that is causing the field
3:16	-	to diverge inside the sphere so the
3:19	-	amount of field that is going inside is
3:21	-	less as compared to what is coming
3:23	-	outside this is known as the positive
3:26	-	divergence now since G has increased as
3:30	-	it was going in in the X direction we
3:33	-	said that the derivative of G with
3:35	-	respect to X is greater than zero and
3:38	-	hence it is known as the positive
3:40	-	divergence when we plug in this value
3:42	-	over here in the second case you can see
3:46	-	that as our field is going in the X
3:49	-	direction the length of the arrow is
3:51	-	decreasing hence the magnitude or the
3:54	-	strength of the field is also decreasing
3:56	-	to understand divergence what we do is
3:59	-	we again draw an arbitrary sphere around
4:2	-	the field as you can see the amount of
4:6	-	field that is going inside the sphere is
4:8	-	more than what is coming outside this
4:11	-	means that there is some sink inside
4:13	-	that sphere that is causing our field to
4:16	-	decrease in magnitude and hence this is
4:19	-	known as the negative divergence now
4:22	-	since G has decreased as it was going
4:25	-	along the x direction
4:27	-	we say that the derivative of G with
4:29	-	respect to X is less than zero and when
4:32	-	we plug this over here we will find that
4:35	-	the divergence of G is negative in the
4:38	-	third case I have shown the case of zero
4:41	-	divergence so what we have is we again
4:44	-	draw an arbitrary sphere over here as
4:46	-	you can see the amount of field that is
4:49	-	going inside is exactly equal to the
4:52	-	amount of field that is coming outside
4:54	-	so this means that nothing is disturbing
4:56	-	our field inside the sphere there is no
4:59	-	source or sink that can affect our field
5:2	-	since G remains constant as it was going
5:5	-	along X we say that the divergence of
5:8	-	the field in this case is exactly zero
5:11	-	so having understood the physical
5:13	-	meaning of divergence we are ready to
5:16	-	finally understand what the Gauss's law
5:18	-	in electricity and magnetism means in
5:21	-	electricity Gauss law the mathematical
5:23	-	form is this now this constant is not
5:26	-	important to understand the physical
5:27	-	meaning of Gauss law so we can set this
5:30	-	to unity this actually is there to
5:33	-	balance the units of the equation Rho is
5:37	-	known as the charge density and E is the
5:40	-	electric field and this is of course the
5:43	-	divergence now if I have a positive
5:46	-	charge like this you know that from a
5:50	-	positive charge the electric field lines
5:52	-	go outside like this so I have a
5:57	-	positive charge which is from where the
6:0	-	electric field lines are coming out and
6:2	-	of course I have also have a negative
6:4	-	charge which is far away from this
6:6	-	charge the positive charge the electric
6:8	-	field lines go inside like this
6:12	-	what Gauss's law really tells is that
6:15	-	the divergence of electric field is
6:18	-	directly proportional to the charge
6:20	-	density so if I draw an imaginary sphere
6:23	-	around this positive charge we can see
6:26	-	that more field lines are going outside
6:29	-	the sphere then what are coming inside
6:32	-	this means that there is the net
6:35	-	positive charge around this sphere so
6:37	-	there is some source of electric field
6:41	-	that is emanating the field outside the
